commit_hash,PKG,ACDC,WCA,WCA higher,LIMBO,LIMBO higher
da0a6ba1ce7667f1f58cc0f766ce65d126efcaf2,99,71,12,NA,12,NA
bdf3de9f6b377b6bfeaa95faadd12e7b29ece5dc,72,55,12,NA,12,NA
0da1330bfd3080a7ad95a4b48ba7b7ac89c3608f,75,58,12,58,12,58
9bac807cedbcff34e1a144fb475eff267e5ed86d,NA,NA,NA,NA,NA,NA
d282b7d2cb6e7f73ec6ac16a4b15820f7c12d38e,71,54,12,NA,12,NA
0f6dfeeacbab65a31a33927a4eb84871d371fe52,58,48,12,NA,12,NA
cd7157784e5e5ddc4e77144d042e54dd0d04bac1,NA,NA,NA,NA,NA,NA
cd24e955cf7720cc4ad7687a0341b6e383722b64,71,54,12,58,12,58
36cedca874f21a37b5f69e077ea63484e1913a68,72,55,12,NA,12,NA
e639c3357bcc6aa086916ebf1f9533f59d15a4b7,58,48,12,NA,12,NA
84f10fd78b08db80fb1d9bd03f2598e3f3757f02,100,71,12,NA,12,NA
8d34a17407942bcdd0a631657dd3602f89bb7fca,60,48,12,NA,12,NA
cbbb899aedacd59040f55ac5ed911c1e62bf3879,76,58,12,NA,12,NA
f6d24536ba9e283a1a918531bfdc2786801fa1d3,58,48,12,NA,12,NA
ab8368d2e0f3931615e6ef4550ad75d9e56047d2,85,64,12,58,12,58
7ee09e0939b131fe5acc13906c613265ab8a9548,85,64,12,NA,12,NA
d00605f8f0214ed8e2304db8688e140f0a1d62d8,NA,NA,NA,NA,NA,NA
fff1d2c1226ec23841b04dd478e8b97f31abbeba,88,66,12,NA,12,NA
c802ca28fd2c9fd35a662b8dd6b675e2aaa515d1,71,54,12,NA,12,NA
a0f120ce68dddb0cb31b64c89f3224313f3cb5af,60,48,12,NA,12,NA
33608c3bd4d73996e4b1f022f36c44b380e0d83c,100,71,12,58,12,58
13052a341fdca860e1bbb000bc0a9d00b840d948,71,54,12,NA,12,NA
